,Date,HIGH,CLOSE,OPEN,LOW,NUM_NEG,NUM_NEU,NUM_POS,TW,weekend,NUM_NEG1,NUM_NEG2,NUM_NEG3,NUM_NEU1,NUM_NEU2,NUM_NEU3,NUM_POS1,NUM_POS2,NUM_POS3,TW1,TW2,TW3,CLOSE1,CLOSE2,CLOSE3,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM
50,7/24/13,76.07,75.35,74.87,74.75,2,31,8,41,0,2,4,0,4,15,1,4,10,5,10,29,6,74.43,74.71,74.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7/25/13,75.81,75.76,75.06,75.03,1,10,4,15,0,2,2,4,31,4,15,8,4,10,41,10,29,75.35,74.43,74.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,7/26/13,75.55,75.35,75.46,74.41,4,16,2,22,0,1,2,2,10,31,4,4,8,4,15,41,10,75.76,75.35,74.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,7/27/13,75.55,75.35,75.46,74.41,0,4,1,5,1,4,1,2,16,10,31,2,4,8,22,15,41,75.35,75.76,75.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,7/28/13,75.55,75.35,75.46,74.41,0,3,0,3,1,0,4,1,4,16,10,1,2,4,5,22,15,75.35,75.35,75.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,7/29/13,75.36,75.07,75.21,74.33,3,15,2,20,0,0,0,4,3,4,16,0,1,2,3,5,22,75.35,75.35,75.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,7/30/13,75.54,75.18,75.48,74.83,3,15,2,20,0,3,0,0,15,3,4,2,0,1,20,3,5,75.07,75.35,75.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,7/31/13,75.86,73.75,75.15,73.47,11,50,10,71,0,3,3,0,15,15,3,2,2,0,20,20,3,75.18,75.07,75.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,8/1/13,76.1,75.62,74.62,74.51,6,38,3,47,0,11,3,3,50,15,15,10,2,2,71,20,20,73.75,75.18,75.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,8/2/13,75.73,75.66,75.5,75,1,5,1,7,0,6,11,3,38,50,15,3,10,2,47,71,20,75.62,73.75,75.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,8/3/13,75.73,75.66,75.5,75,1,2,0,3,1,1,6,11,5,38,50,1,3,10,7,47,71,75.66,75.62,73.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,8/4/13,75.73,75.66,75.5,75,0,1,0,1,1,1,1,6,2,5,38,0,1,3,3,7,47,75.66,75.66,75.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,8/5/13,76.04,75.94,75.51,75.21,0,22,6,28,0,0,1,1,1,2,5,0,0,1,1,3,7,75.66,75.66,75.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,8/6/13,76.1,75.82,75.87,75.47,2,12,4,18,0,0,0,1,22,1,2,6,0,0,28,1,3,75.94,75.66,75.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,8/7/13,75.71,75.13,75.46,74.85,2,29,3,34,0,2,0,0,12,22,1,4,6,0,18,28,1,75.82,75.94,75.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8/8/13,76.73,76.21,75.79,75.48,5,28,15,48,0,2,2,0,29,12,22,3,4,6,34,18,28,75.13,75.82,75.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,8/9/13,76.36,75.51,76.21,75.01,4,22,2,28,0,5,2,2,28,29,12,15,3,4,48,34,18,76.21,75.13,75.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
